=== Memory Watchdog ===
Monitoring PID 7942, threshold: 53477376 KB (~51.2 GB)
Started at Fri Feb 20 22:52:00 PST 2026

22:56:02  RSS: 620 MB  Peak: 620 MB
22:56:04  RSS: 620 MB  Peak: 620 MB
22:56:06  RSS: 620 MB  Peak: 620 MB
22:56:08  RSS: 620 MB  Peak: 620 MB
22:56:10  RSS: 620 MB  Peak: 620 MB
22:56:12  RSS: 620 MB  Peak: 620 MB
22:56:14  RSS: 620 MB  Peak: 620 MB
22:56:16  RSS: 620 MB  Peak: 620 MB
22:56:18  RSS: 620 MB  Peak: 620 MB
22:56:20  RSS: 620 MB  Peak: 620 MB
22:56:22  RSS: 620 MB  Peak: 620 MB
22:56:24  RSS: 620 MB  Peak: 620 MB
22:56:26  RSS: 620 MB  Peak: 620 MB
22:56:28  RSS: 620 MB  Peak: 620 MB
22:56:30  RSS: 555 MB  Peak: 620 MB
22:56:32  RSS: 620 MB  Peak: 620 MB
22:56:34  RSS: 620 MB  Peak: 620 MB
22:56:36  RSS: 620 MB  Peak: 620 MB
22:56:38  RSS: 620 MB  Peak: 620 MB
22:56:40  RSS: 524 MB  Peak: 620 MB
22:56:42  RSS: 620 MB  Peak: 620 MB
22:56:44  RSS: 620 MB  Peak: 620 MB
22:56:46  RSS: 620 MB  Peak: 620 MB
22:56:48  RSS: 620 MB  Peak: 620 MB
22:56:50  RSS: 620 MB  Peak: 620 MB
22:56:52  RSS: 620 MB  Peak: 620 MB
22:56:54  RSS: 620 MB  Peak: 620 MB
22:56:56  RSS: 620 MB  Peak: 620 MB
22:56:58  RSS: 620 MB  Peak: 620 MB
22:57:00  RSS: 620 MB  Peak: 620 MB
22:57:02  RSS: 620 MB  Peak: 620 MB
22:57:04  RSS: 620 MB  Peak: 620 MB
22:57:06  RSS: 620 MB  Peak: 620 MB
22:57:08  RSS: 620 MB  Peak: 620 MB
22:57:10  RSS: 617 MB  Peak: 620 MB
22:57:12  RSS: 623 MB  Peak: 623 MB
22:57:14  RSS: 623 MB  Peak: 623 MB
22:57:16  RSS: 623 MB  Peak: 623 MB
22:57:18  RSS: 623 MB  Peak: 623 MB
22:57:20  RSS: 623 MB  Peak: 623 MB
22:57:23  RSS: 623 MB  Peak: 623 MB
22:57:25  RSS: 623 MB  Peak: 623 MB
22:57:27  RSS: 623 MB  Peak: 623 MB
22:57:29  RSS: 623 MB  Peak: 623 MB
22:57:31  RSS: 623 MB  Peak: 623 MB
22:57:33  RSS: 623 MB  Peak: 623 MB
22:57:35  RSS: 623 MB  Peak: 623 MB
22:57:37  RSS: 623 MB  Peak: 623 MB
22:57:39  RSS: 623 MB  Peak: 623 MB
22:57:41  RSS: 623 MB  Peak: 623 MB
22:57:43  RSS: 623 MB  Peak: 623 MB
22:57:45  RSS: 623 MB  Peak: 623 MB
22:57:47  RSS: 623 MB  Peak: 623 MB
22:57:49  RSS: 623 MB  Peak: 623 MB
22:57:51  RSS: 620 MB  Peak: 623 MB
22:57:53  RSS: 620 MB  Peak: 623 MB
22:57:55  RSS: 620 MB  Peak: 623 MB
22:57:57  RSS: 620 MB  Peak: 623 MB
